,iso3,battle_case,protest_riots_case
373,AGO,0.0,1.0
613,BDI,0.0,1.0
808,CAF,1.0,1.0
1073,COD,1.0,1.0
1241,EGY,0.0,1.0
1474,ETH,0.0,1.0
1622,CIV,0.0,1.0
1885,KEN,0.0,1.0
1947,LBR,0.0,1.0
2062,LBY,1.0,1.0
2205,MLI,1.0,1.0
2395,NER,1.0,1.0
2666,NGA,0.0,1.0
2711,COG,0.0,0.0
2808,RWA,0.0,0.0
3060,ZAF,0.0,1.0
3331,SDN,0.0,1.0
3357,TGO,0.0,0.0
3600,UGA,0.0,1.0
3682,BFA,1.0,1.0
3805,CMR,1.0,1.0
3942,TCD,1.0,1.0
4258,SOM,1.0,1.0
4272,SWZ,0.0,0.0
4369,GHA,0.0,1.0
4401,MRT,0.0,1.0
4575,ZMB,0.0,0.0
4659,MWI,0.0,1.0
4793,ZWE,0.0,1.0
4883,MOZ,0.0,1.0
5025,TZA,0.0,0.0
5149,MDG,0.0,1.0
5202,BEN,0.0,0.0
5308,GIN,0.0,1.0
5504,SSD,1.0,0.0
